ID	Date	Op Name	Map Name	Op Type	Zeus	N Players (excl. GM)	N Signed Up	Respawn System	IED/Mine Threat	Artillery/Mortar Threat	Faction

1	2023-06-25	Solid State	Tembelan Island	Amphibious	Conorrob	-1	-1	Wave	No	No	Unknown
2	2023-06-28	Prospect Valley	Fapovo Island	Infantry	Zoid	-1	-1	Wave	No	No	Unknown
3	2023-07-02	Block Party	Colombia	Airborne	Lortmil	-1	-1	Wave	No	No	VSM
4	2023-07-05	Rainfall	North Takistan	Infantry	Chloris	-1	-1	Wave	No	No	US Army (modern)
5	2023-07-09	Aftermath	Niakala	Infantry	Johnson	-1	-1	One-life	Yes	Mortar	USEC
6	2023-07-12	Snort Cocaine	Unknown	Unknown	Melon	-1	-1	Wave	No	No	Unknown
